J232105: J232105_老人ホーム従事者数（常勤）
J2401: J2401_身体障害者更生援護施設数
J2402: J2402_身体障害者更生援護施設定員数
J2403: J2403_身体障害者更生援護施設在所者数
J2404: J2404_身体障害者更生援護施設従事者数（専任）
J2405: J2405_身体障害者更生援護施設従事者数（常勤）
J2501: J2501_児童福祉施設等数（詳細票）
J250101: J250101_児童福祉施設等数（詳細票）（保育所等を除く）
J250102: J250102_児童福祉施設等数（基本票）（保育所等を除く）
J250201: J250201_児童福祉施設従事者数（保育所、児童館、児童遊園を除く）（専任）
J250202: J250202_児童福祉施設等従事者数（詳細票）（常勤）
J250203: J250203_児童福祉施設等従事者数（詳細票）（保育所等を除く）（常勤）
J250204: J250204_児童福祉施設等数（基本票）
J2503: J2503_保育所等数（詳細票）
J250301: J250301_公営保育所等数（詳細票）
J250302: J250302_保育所等数（基本票）
J250303: J250303_公営保育所等数（基本票）
J2504: J2504_保育所保育士数（専任）
J2505: J2505_保育所等定員数（詳細票）
J250501: J250501_公営保育所等定員数（詳細票）
J250502: J250502_保育所等利用待機児童数
J2506: J2506_保育所等在所児数（詳細票）
J250601: J250601_保育所在所児数（3歳児）
J250602: J250602_保育所在所児数（4歳児）
J250603: J250603_保育所在所児数（5歳児）
J250604: J250604_公営保育所等在所児数（詳細票）
J2508: J2508_保育所等修了者数（詳細票）
J2509: J2509_児童館数
J2510: J2510_児童遊園数
J2511: J2511_助産施設数
J2513: J2513_乳児院数
J2514: J2514_乳児院定員数
J2515: J2515_乳児院在所者数
J2517: J2517_母子生活支援施設数
J2519: J2519_母子生活支援施設在所者数
J2521: J2521_児童養護施設数
J2522: J2522_児童養護施設定員数
J2523: J2523_児童養護施設在所者数
J2525: J2525_心身障害児施設数
J252501: J252501_知的障害児施設数
J252502: J252502_知的障害児通園施設数
J252503: J252503_盲児施設数
J252504: J252504_ろうあ児施設数
J252505: J252505_難聴幼児通園施設数
J252507: J252507_肢体不自由児施設数
J252508: J252508_肢体不自由児通園施設数
J252509: J252509_肢体不自由児療護施設数
J252510: J252510_重症心身障害児施設数
J252511: J252511_情緒障害児短期治療施設数
J252512: J252512_自閉症児施設数
J2526: J2526_保育所等保育士数（詳細票）
J252601: J252601_公営保育所等保育士数（詳細票）
J2527: J2527_保育所従事者数（常勤）
J2528: J2528_乳児院従事者数（常勤）
J2529: J2529_母子生活支援施設従事者数（常勤）
J2530: J2530_児童養護施設従事者数（常勤）
J2540: J2540_認定こども園数
J2541: J2541_認定こども園数（幼保連携型）
J2542: J2542_認定こども園数（幼稚園型）
J2543: J2543_認定こども園数（保育所型）
J2544: J2544_認定こども園数（地方裁量型）
J2545: J2545_幼保連携型認定こども園在所児数
J2546: J2546_保育所型認定こども園在所児数
J2547: J2547_小規模保育事業所数
J2548: J2548_小規模保育事業所在所児数
J2626: J2626_心身障害児施設定員数
J262601: J262601_知的障害児施設定員数
J262602: J262602_知的障害児通園施設定員数
J262608: J262608_肢体不自由児通園施設定員数
J262610: J262610_重症心身障害児施設定員数
J2627: J2627_心身障害児施設在所者数
J262701: J262701_知的障害児施設在所者数
J262703: J262703_盲児施設在所者数
J262709: J262709_肢体不自由児療護施設在所者数
J2629: J2629_児童自立支援施設数
J2631: J2631_児童自立支援施設在所者数
J2633: J2633_児童自立支援施設従事者数（常勤）
J2634: J2634_心身障害児施設従事者数（常勤）
J2641: J2641_へき地保育所数
J2642: J2642_へき地保育所在所児数
J2651: J2651_認可外保育施設数
J2652: J2652_認可外保育施設利用児童数
J2701: J2701_知的障害者援護施設数
J2702: J2702_知的障害者援護施設定員数
J2703: J2703_知的障害者援護施設在所者数
J2704: J2704_知的障害者援護施設従事者数（専任）
J2705: J2705_知的障害者援護施設従事者数（常勤）
J2801: J2801_母子・父子福祉施設数（詳細票）
J2803: J2803_母子・父子福祉施設従事者数（詳細票）（常勤）
J2804: J2804_母子・父子福祉施設数（基本票）
J2901: J2901_障害者支援施設等数（詳細票）
J2902: J2902_精神障害者社会復帰施設数
J2903: J2903_身体障害者社会参加支援施設数
J2904: J2904_婦人保護施設数（詳細票）
J2905: J2905_障害者支援施設等数（基本票）
J2906: J2906_婦人保護施設数（基本票）
J3101: J3101_民生委員（児童委員）数
J3108: J3108_訪問介護員（ホームヘルパー）数
J3201: J3201_民生委員（児童委員）相談・支援件数
J3202: J3202_福祉事務所生活保護申請件数
J3203: J3203_身体障害者更生援護取扱実人員
J3204: J3204_福祉事務所知的障害者相談実人員
J3205: J3205_身体障害者更生相談所取扱実人員
J3206: J3206_知的障害者更生相談所取扱実人員
J3207: J3207_児童相談所受付件数
J3208: J3208_市町村における知的障害者相談実人員
J3209: J3209_児童相談所における児童虐待相談の対応件数
J320901: J320901_児童相談所における児童虐待相談の対応件数（被虐待者が0～2歳）
J320902: J320902_児童相談所における児童虐待相談の対応件数（被虐待者が3～6歳）
J320903: J320903_児童相談所における児童虐待相談の対応件数（被虐待者が7～12歳）
J320904: J320904_児童相談所における児童虐待相談の対応件数（被虐待者が13～15歳）
J320905: J320905_児童相談所における児童虐待相談の対応件数（被虐待者が16～18歳）
J4001: J4001_国民医療費（総額）
J4002: J4002_国民医療費（一般診療）（入院）
J4003: J4003_国民医療費（一般診療）（入院外）
J4004: J4004_一人当たりの医療費
J4005: J4005_国民医療費（医科診療）（入院）
J4006: J4006_国民医療費（医科診療）（入院外）
J4101: J4101_国民健康保険被保険者数
J4102: J4102_国民健康保険給付件数
J4104: J4104_国民健康保険医療費件数（診療費）
J4105: J4105_国民健康保険給付金額（診療費）（費用額）
J4106: J4106_国民健康保険被保険者受診率（1000人当たり）
J4107: J4107_国民健康保険被保険者1人当たり診療費
J4108: J4108_国民健康保険給付金額
