C220841: C220841_従業者数（民営）（卸売業、小売業）
C220842: C220842_従業者数（民営）（卸売業）
C220843: C220843_従業者数（民営）（小売業）
C220844: C220844_従業者数（民営）（金融業、保険業）
C220845: C220845_従業者数（民営）（不動産業、物品賃貸業）
C220846: C220846_従業者数（民営）（学術研究、専門・技術サービス業）
C220847: C220847_従業者数（民営）（宿泊業、飲食サービス業）
C220848: C220848_従業者数（民営）（生活関連サービス業、娯楽業）
C220849: C220849_従業者数（民営）（教育、学習支援業）
C220850: C220850_従業者数（民営）（医療、福祉）
C220851: C220851_従業者数（民営）（複合サービス事業）
C220852: C220852_従業者数（民営）（サービス業（他に分類されないもの））
C2209: C2209_従業者数（国・地方公共団体）（経済センサス‐基礎調査結果）
C220901: C220901_従業者数（国）（経済センサス‐基礎調査結果）
C220902: C220902_従業者数（地方公共団体）
C220903: C220903_従業者数（都道府県）（経済センサス‐基礎調査結果）
C220904: C220904_従業者数（市町村）（経済センサス‐基礎調査結果）
C2210: C2210_第1次産業従業者数（経済センサス‐基礎調査結果）
C2211: C2211_第2次産業従業者数（経済センサス‐基礎調査結果）
C2212: C2212_第3次産業従業者数（経済センサス‐基礎調査結果）
C3101: C3101_農業産出額
C310201: C310201_農家数（販売農家）
C310202: C310202_農家数（自給的農家）
C310211: C310211_専業農家数（販売農家）
C310212: C310212_兼業農家数（販売農家）
C3107: C3107_耕地面積
C3109: C3109_耕地放棄面積
C3401: C3401_製造品出荷額等
C3403: C3403_製造業事業所数
C3404: C3404_製造業従業者数
C3501: C3501_商業年間商品販売額（卸売業＋小売業）
C350101: C350101_卸売業年間商品販売額
C350102: C350102_小売業年間商品販売額
C3502: C3502_商業事業所数（卸売業＋小売業）
C350201: C350201_卸売業事業所数
C350202: C350202_小売業事業所数
C3503: C3503_商業従業者数（卸売業＋小売業）
C350301: C350301_卸売業従業者数
C350302: C350302_小売業従業者数
C5401: C5401_標準価格（平均価格）（住宅地）
C5403: C5403_標準価格（平均価格）（商業地）
C5405: C5405_標準価格（平均価格）（工業地）
C6101: C6101_売上金額（民営）
C610101: C610101_売上金額（民営）（農林漁業）
C610104: C610104_売上金額（民営）（非農林漁業（公務を除く））
C610105: C610105_売上金額（民営）（鉱業、採石業、砂利採取業）
C610106: C610106_売上金額（民営）（建設業）
C610107: C610107_売上金額（民営）（製造業）
C610108: C610108_売上金額（民営）（電気・ガス・熱供給・水道業）
C610109: C610109_売上金額（民営）（情報通信業）
C610110: C610110_売上金額（民営）（運輸業、郵便業）
C610111: C610111_売上金額（民営）（卸売業、小売業）
C610114: C610114_売上金額（民営）（金融業、保険業）
C610115: C610115_売上金額（民営）（不動産業、物品賃貸業）
C610116: C610116_売上金額（民営）（学術研究、専門・技術サービス業）
C610117: C610117_売上金額（民営）（宿泊業、飲食サービス業）
C610118: C610118_売上金額（民営）（生活関連サービス業、娯楽業）
C610119: C610119_売上金額（民営）（教育、学習支援業）
C610120: C610120_売上金額（民営）（医療、福祉）
C610121: C610121_売上金額（民営）（複合サービス事業）
C610122: C610122_売上金額（民営）（サービス業（他に分類されないもの））
C620101: C620101_純付加価値額（民営）（農林漁業）
C620105: C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）
C620106: C620106_純付加価値額（民営）（建設業）
C620107: C620107_純付加価値額（民営）（製造業）
C620108: C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）
C620109: C620109_純付加価値額（民営）（情報通信業）
C620110: C620110_純付加価値額（民営）（運輸業、郵便業）
C620111: C620111_純付加価値額（民営）（卸売業、小売業）
C620114: C620114_純付加価値額（民営）（金融業、保険業）
C620115: C620115_純付加価値額（民営）（不動産業、物品賃貸業）
C620116: C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）
C620117: C620117_純付加価値額（民営）（宿泊業、飲食サービス業）
C620118: C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）
C620119: C620119_純付加価値額（民営）（教育、学習支援業）
C620120: C620120_純付加価値額（民営）（医療、福祉）
C620121: C620121_純付加価値額（民営）（複合サービス事業）
C620122: C620122_純付加価値額（民営）（サービス業（他に分類されないもの））
